new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
908,Italy,"The nose isn't very expressive, offering aromas of toasted hazelnut, while the dense, simple palate shows dried black cherry and licorice. It's shy on freshness and has round but rather fleeting tannins. Drink through 2018.",,87,39,Piedmont,Barbaresco,,Kerin O'keefe,@kerinokeefe,Cascina Bruciata 2013 Barbaresco,Nebbiolo,Cascina Bruciata
909,Italy,"This opens with aromas of toast, oak, menthol, resin, coffee bean and medicinal notes. The aromas carry over to the firm palate, along with thyme, clove, licorice and bracing tannins.",,87,35,Piedmont,Barbaresco,,Kerin O'keefe,@kerinokeefe,Castello Di Neive 2013 Barbaresco,Nebbiolo,Castello Di Neive
910,Argentina,"Flat in color, with a dull luster, this smells mulchy and earthy, with dampness to the nose. A thick, medicinal palate is dealing severe tannins embedded into a syrupy texture. Flavors of fig, raisin and earth are a little spent.",Grand Vin,87,30,Mendoza Province,Vista Flores,,Michael Schachner,@wineschach,Antucura 2011 Grand Vin Red,Bordeaux-style Red Blend,Antucura
911,France,"Juicy dark plum, cherry and boysenberry are upfront on the nose, with additional seductive hints of purple violet and vanilla. The palate is plush and fruit-forward, with ample acidity and medium tannins that lend pleasant structure. Accents of sweet spice grace the finish.",Samsó Seulle,87,23,France Other,Vin De France,,Lauren Buzzeo,@laurbuzz,Frédéric Brouca 2013 Samsó Seulle Cinsault,Cinsault,Frédéric Brouca
912,United States,"This light, refreshing rosé mixes fresh strawberry fruit with apple-flavored acids. It's finished bone dry, with an almost dusty mouthfeel (in a good kind of way).",Three Otters Pinot Noir,87,18,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Fullerton 2015 Three Otters Pinot Noir Rosé,Rosé,Fullerton
913,,"Amber in color, this wine has aromas of peach jam and orange blossom. Flavors are a mélange of mellow fruit and savory notes, in particular apricot, lemon curd, quince and bitter almond. Despite strong tannins, there are moments of brightness across the entire palate that linger into the finish.",Asureti Valley,87,30,,,,Mike Desimone,@worldwineguys,Gotsa Family Wines 2014 Asureti Valley Chinuri,Chinuri,Gotsa Family Wines
914,Argentina,"Smashed berry aromas are backed by earth and toasty oak notes. Fairly hard and tannic on the palate, this shows herbal plum flavors in front of a bold finish with dry tannins and a hint of wood spice.",Grand Reserve,87,20,Other,San Juan,,Michael Schachner,@wineschach,Graffigna 2012 Grand Reserve Malbec,Malbec,Graffigna
915,United States,"This is smooth and accessible, putting a light chocolate frame around rhubarb and strawberry fruit. There's a hint of pepper, and the wine is fresh and youthful, good sipping wine for late summer/early fall.",Atração,87,25,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Coelho 2014 Atração Pinot Noir,Pinot Noir,Coelho
916,United States,"Quite tart, the fruit here touches (just barely) on melon, with orange and lemon zest, a bit of lime, and plenty of acid. All stainless fermented, it went through full malolactic.",Renovação Estate Vineyard,87,20,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Coelho 2015 Renovação Estate Vineyards Pinot Gris,Pinot Gris,Coelho
917,Italy,"This has aromas suggesting grilled herb, toasted oak, espresso and a whiff of wet animal fur. The palate offers dried cherry, game, anisette and a green note of bitter sage alongside extremely astringent tannins.",Bussia,87,50,Piedmont,Barolo,,Kerin O'keefe,@kerinokeefe,Deltetto 2012 Bussia,Nebbiolo,Deltetto
918,Italy,"This opens with aromas of toasted oak, roasted coffee bean and a whiff of sawdust. The bracing palate offers dried cherry, espresso and mocha alongside astringent tannins. Give the tannins another year or two to unwind then drink to capture the remaining fruit.",Ginestra,87,50,Piedmont,Barolo,,Kerin O'keefe,@kerinokeefe,Diego Conterno 2012 Ginestra,Nebbiolo,Diego Conterno
919,Argentina,"Despite looking gold and mature, this PG exceeds expectations courtesy of waxy, baked-apple aromas and a full but balanced mouthfeel. Spiced apple, apricot and burnt orange flavors finish long due to core acidity. Drink immediately.",Reserve,87,15,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Domaine Bousquet 2015 Reserve Pinot Gris,Pinot Gris,Domaine Bousquet
920,Australia,"Green beans and snap peas give this Sauvignon Blanc a green cast overall, but there's some citrus and gooseberry fruit as well. It's clean and refreshing on the finish.",Breathing Space,87,0,Australia Other,Australia,,Joe Czerwinski,@joecz,Evans & Tate 2015 Breathing Space Sauvignon Blanc,Sauvignon Blanc,Evans & Tate
921,Portugal,"A blend of Fernão Pires and Arinto, this is totally crisp and refreshingly fruity. It is perfumed, smooth while also cut with acidity. The acidity comes from both citrus and pineapple flavors. Drink now.",Conde Vimioso Colheita Seleccionada Branco,87,9,Tejo,,,Roger Voss,@vossroger,Falua 2015 Conde Vimioso Colheita Seleccionada Branco White,Portuguese White,Falua
922,Argentina,"Aromas of citrus and petrol are backed by a juicy palate with tangy acidity and semisharp flavors of peach, tangerine and stone-fruit pits. Fresh, citrusy length and a lingering note of orange are the finish.",Altosur,87,12,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Finca Sophenia 2015 Altosur Sauvignon Blanc,Sauvignon Blanc,Finca Sophenia
923,Portugal,"Known in Spain as Graciano, this grape produces attractive, fruity wine especially in the Tejo region. This example is ripe with layers of acidity as well as a generous texture. Soft and smooth, it is ready to drink.",,87,14,Tejo,,,Roger Voss,@vossroger,Fiuza 2015 Red,Tinta Miúda,Fiuza
924,Australia,"This medium-bodied wine features aromas of green apple and crushed stone, while the flavors turn citrusy, veering toward lime and grapefruit. It's nicely silky in texture, while a hint of snow pea marks the finish.",,87,18,South Australia,Adelaide,,Joe Czerwinski,@joecz,Sidewood 2014 Sauvignon Blanc,Sauvignon Blanc,Sidewood
925,United States,"An earthy, nutty aroma and flavor come through the intense sweetness and full body of this dessert-style wine. It goes for earthy complexity rather than obvious fruit flavors, and tastes high in sugar and alcohol.",Vin Doux Naturel,87,20,California,Shenandoah Valley,Sierra Foothills,Jim Gordon,@gordone_cellars,Terre Rouge 2013 Vin Doux Naturel Muscat Blanc À Petits Grains,Muscat Blanc À Petits Grains,Terre Rouge
926,Argentina,"This Malbec is a collection of disparate parts that doesn't justify its price. Reduced plum and grapy berry aromas come with woodsy notes of menthol and cola. Highly herbal, saucy, savory flavors are more oaky than fruity, while this finishes with muscular tannins and savory, grapy notes.",Roll Fermentor,87,175,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Antonio Mas 2011 Roll Fermentor Malbec,Malbec,Antonio Mas
927,Portugal,"This is crisp and fresh medium-sweet wine. It is bright with red-currant acidity and ripe with a strawberry and cream flavor. The wine is clean, lively and, of course, ready to drink.",Casal Garcia Rosé,87,12,Vinho Verde,,,Roger Voss,@vossroger,Aveleda Nv Casal Garcia Rosé Sparkling,Portuguese Sparkling,Aveleda
928,Italy,"Cellar floor, eucalyptus, black spice and a note recalling grilled celery lead the nose. The ripe palate offers mature black cherry, star anise and a hint of orange zest while assertive, tightly knit tannins leave an astringent finish.",,87,60,Piedmont,Barbaresco,,Kerin O'keefe,@kerinokeefe,Battaglio 2013 Barbaresco,Nebbiolo,Battaglio
929,United States,"This full-bodied wine is in the classic mode, offering very ripe and even overripe aromas. Voluptuous berry flavors verge on sweet, and the rich texture comes without a lot of drying tannin.",Estate,87,20,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Bella Grace 2013 Estate Zinfandel,Zinfandel,Bella Grace
930,Argentina,"Roasted, woodsy, rubbery aromas are gamy and staunch, with berry notes interspersed. Grabby, rubbery tannins make for a rugged palate, while roasted plum and gamy flavors are a touch salty. A tannic finish doesn't change much.",Alberti 154,87,15,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Calle 2014 Alberti 154 Malbec,Malbec,Bodega Calle
931,Italy,"Berry, menthol and a hint of espresso aromas lead the way while the straightforward palate shows mature black-skinned berry, coffee and a hint of licorice. It's already approachable. Drink through 2020.",,87,35,Piedmont,Barolo,,Kerin O'keefe,@kerinokeefe,Borgogno F.Lli Serio E Battista 2012 Barolo,Nebbiolo,Borgogno F.Lli Serio E Battista
932,France,"The wood flavors are still prominent in this spicy wine. Heavily influenced by rich Merlot, the wine is lightly structured and more about juicy red fruits. Tannins in the back give enough shape, although it will be ready to drink from early 2017.",Tradition,87,14,Bordeaux,Blaye Côtes De Bordeaux,,Roger Voss,@vossroger,Château Les Petits Arnauds 2014 Tradition,Bordeaux-style Red Blend,Château Les Petits Arnauds
933,France,"While the wine is firm and tannic at this early stage, it does have the potential to bring out a more fruity character. The red-berry fruits and acidity are there, promising a fresh wine from 2018.",,87,16,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Mougneaux 2014 Bordeaux Supérieur,Bordeaux-style Red Blend,Château Mougneaux
934,France,"Ripe fruit and balanced acidity allow this wine to make room for touches of wood aging. It has spice, a smoky character and attractive finishing freshness. Drink from 2017 when the wine will be fully balanced.",Vieilles Vignes,87,15,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Saintongey 2014 Vieilles Vignes,Bordeaux-style Red Blend,Château Saintongey
935,France,"From a estate in the Marmet family since 1990, the wine has ripe Merlot flavors that give a generous character. Big, bold fruitiness dominates this wine whose structure is firm while smooth. Drink starting from 2019.",Vieilles Vignes,87,14,Bordeaux,Blaye Côtes De Bordeaux,,Roger Voss,@vossroger,Château Ségonzac 2014 Vieilles Vignes,Bordeaux-style Red Blend,Château Ségonzac
936,United States,"This is surprisingly light, having dropped significantly in alcohol from the previous vintage. Green-fruit flavors touch on banana and apple, and the wood—31% new and 26% once-used—seems to show a bit of rawness. Give this another couple of years of bottle age before opening.",Ian's Reserve,87,40,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Chehalem 2013 Ian's Reserve Chardonnay,Chardonnay,Chehalem
937,United States,"This is a pleasant white wine, albeit rather generic, as Pinot Blanc is prone to be. Crisp apple flavors and a touch of grapefruit are the focus. Drink chilled and enjoy it while it's still young and fresh.",Stoller Vineyard,87,29,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine,Chehalem 2015 Stoller Vineyards Pinot Blanc,Pinot Blanc,Chehalem
938,Spain,"Earthy, cool aromas of wet cement, raisin and raspberry are a bit flat. This feels drawing and tannic, with flavors of tomato, red plum, currant and raspberry. A full-size finish is comfortable but not very complex.",Ii Crianza,87,15,Northern Spain,Rioja,,Michael Schachner,@wineschach,Covila 2013 Ii Crianza,Tempranillo,Covila
939,United States,"This wine puts jammy aromas, very ripe flavors, full body and deep, dark fruit flavors on a broad, soft texture.",Melange D'amis Reserve,87,55,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Cuda Ridge Wines 2013 Melange D'amis Reserve Red,Bordeaux-style Red Blend,Cuda Ridge Wines
940,France,"Neatly divided between the three major grapes of Champagne, this full, ripe wine is packed with rich apple and pear fruits. It is crisp while showing a high dosage giving a softer, smoother aftertaste. Drink this bottling now.",Grande Réserve Premier Cru Brut,87,38,Champagne,Champagne,,Roger Voss,@vossroger,Duménil Nv Grande Réserve Premier Cru Brut,Champagne Blend,Duménil
941,Spain,"Cool aromas of cola, leather and black cherry set up a fairly full but fresh palate with moderate creamy weight. This tastes reedy and spicy, with wild-berry fruit, peppery notes and a distinct flavor of creamy oak. On the finish, this is oaky and herbal tasting.",Goru Verde,87,15,Levante,Jumilla,,Michael Schachner,@wineschach,Ego Bodegas 2014 Goru Verde Monastrell,Monastrell,Ego Bodegas
942,United States,"Stewy plum and cherry jam lie at the heart of this densely layered, though silky-smooth wine, light bodied and ethereal despite the ripeness of fruit flavor. It finishes simply and without fuss.",,87,34,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Ektimo Vineyards 2014 Pinot Noir,Pinot Noir,Ektimo Vineyards
943,Spain,"Slightly gritty aromas are just barely ripe enough. This feels tight, acidic and like tomato juice. Flavors of salty berry fruits, tomato, oak and vanilla are modest but complete. Given how cool 2013 was in Rioja, this is quite good.",Crianza,87,18,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca Del Marquesado 2013 Crianza,Tempranillo,Finca Del Marquesado
944,United States,"Sharply defined, this has piercing, penetrating high notes that are both floral and fruity. Its lemon and tangerine fruit is amped up with some alcoholic burn. Aerating it helps to smooth it out.",Estate,87,27,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine,Folin Cellars 2015 Estate Viognier,Viognier,Folin Cellars
